37.2009071,42.2013925,36.9060735,41.9077511,31.5335123,36.5336238,1
48.0695468,53.0707066,54.2828209,59.2845314,33.1001777,38.1002649,2
51.6569836,56.6590089,54.5361396,59.5398445,37.8754046,42.8755307,3
56.4541273,61.4546048,69.6161614,74.620869,49.3697838,54.3698666,4
69.2710199,74.273386,73.3780754,78.3822344,57.1273922,62.1274745,4
84.2184215,89.2195511,80.5920188,85.5961911,60.0863916,65.0864863,5
92.1820037,97.182561,102.086698,107.0904534,81.4077907,86.4078749,6
100.31596,105.3164385,108.1718733,113.1769703,90.8616007,95.861685,7
117.6275736,122.628306,114.9187156,119.9223694,91.0920293,96.0921286,8
126.4704809,131.4709595,122.5297307,127.5336679,95.5953225,100.5955391,9
